Time_s,BaselineMotor_rad_s,BaselineDistal_rad_s,BaselineRipple_rad_s,Rm_Ripple_rad_s,Km_Ripple_rad_s,Bs_Ripple_rad_s,Bm_Ripple_rad_s
1.574,3.3950882861273,3.40508334628733,0.00502836975377008,0.00333647872437837,0.00347915111619246,0.000607660702493629,-1.06496334350559e-05
1.575,3.3965521676914,3.40463243175535,0.00406506361853998,0.00264012346088505,0.00277027689458009,0.000606723253644414,-9.69394897565312e-06
1.576,3.39801608837327,3.40417702833763,0.00309947951043554,0.00194236032735429,0.00205973360998302,0.00060578725069016,-8.73766585390845e-06
1.577,3.3994788216462,3.40371837860816,0.00213285959820242,0.00124408648770746,0.00134843549753016,0.000604852691369562,-7.78188427191795e-06
1.578,3.40093914427526,3.40325772549397,0.00116644457213511,0.000546197928968262,0.000637296054824876,0.00060391957342798,-6.82769178489417e-06
1.579,3.40239583788004,3.40279631068205,0.000201472056457597,-0.000150411685615914,-7.27731288701072e-05,0.000602987894614326,-5.87616219566156e-06
1.58,3.4038476904875,3.40233537303145,-0.000760824970772234,-0.000844852158131459,-0.000780863538811793,0.000602057652683285,-4.92835447790663e-06
1.581,3.40529349807324,3.4018761469926,-0.00171921974823253,-0.0015362378907775,-0.00148607089483255,0.000601128845393983,-3.98531172751682e-06
1.582,3.40673206608894,3.40141986103587,-0.0026724932903841,-0.0022236890124292,-0.00218749630379511,0.000600201470509543,-3.04806014439496e-06
1.583,3.40816221097433,3.40096773609134,-0.00361943593301506,-0.00290633249554739,-0.00288424740298732,0.000599275525797083,-2.11760804369465e-06
1.584,3.40958276165153,3.40052098400173,-0.00455884886334657,-0.0035833032620336,-0.00357543949299988,0.000598351009030385,-1.19494489936312e-06
1.585,3.41099256100009,3.40008080599053,-0.0054895456327575,-0.00425374527662825,-0.00426019665865462,0.00059742791798767,-2.81040419103373e-07
1.586,3.41239046731075,3.39964839114717,-0.00641035365024001,-0.00491681262647115,-0.004937652876571,0.000596506250448936,6.23156347245857e-07
1.587,3.41377535571616,3.3992249149312,-0.00732011565470181,-0.00557167058548025,-0.00560695310796921,0.000595586004203064,1.51671786735585e-06
1.588,3.41514611959677,3.39881153769734,-0.00821769116428728,-0.00621749666219884,-0.0062672543753397,0.000594667177040265,2.3987389498048e-06
1.589,3.41650167196012,3.39840940324314,-0.00910195790090151,-0.00685348162981381,-0.00691772682162251,0.000593749766756968,3.26833753505618e-06
1.59,3.41784094679189,3.39801963738129,-0.00997181318817697,-0.00747883053705189,-0.00755755475057995,0.000592833771153156,4.1246554498553e-06
1.591,3.41916290037692,3.3976433465381,-0.0108261753211347,-0.00809276369869982,-0.00818593764704678,0.000591919188035028,4.96685912676487e-06
1.592,3.42046651258872,3.39728161638009,-0.0116639849058626,-0.00869451766452212,-0.00880209117580355,0.000591006015211448,5.79414028717418e-06
1.593,3.42175078814574,3.39693551047024,-0.0124842061675552,-0.00928334616537008,-0.00940524815781618,0.000590094250497053,6.60571658861464e-06
1.594,3.42301475783304,3.39660606895565,-0.0132858282253072,-0.00985852103532103,-0.009994659522647,0.000589183891710032,7.40083223432775e-06
1.595,3.42425747968762,3.39629430728822,-0.0140678663321006,-0.0104193331087181,-0.0105695952358387,0.000588274936673905,8.17875854658423e-06
1.596,3.4254780401463,3.39600121497981,-0.0148293630784817,-0.0109650930909937,-0.0111293452001555,0.00058736738321663,8.93879450242219e-06
1.597,3.42667555515442,3.39572775439355,-0.0155693895584554,-0.0114951324022385,-0.0116732201295431,0.000586461229169721,9.68026723174864e-06
1.598,3.42784917123433,3.39547485957265,-0.0162870464961999,-0.0120088039924653,-0.0122005523947641,0.000585556472370019,1.04025324779156e-05
1.599,3.42899806651212,3.39524343510821,-0.0169814653322291,-0.0125054831276001,-0.0127106968396564,0.000584653110658362,1.11049750206593e-05
1.6,3.43012145170163,3.3950343550473,-0.0176518092677198,-0.0129845681452343,-0.0132030315670395,0.000583751141879585,1.17870090610706e-05
1.601,3.43121857104435,3.39484846184273,-0.0182972742657501,-0.0134454811792448,-0.013676958693297,0.000582850563884296,1.24480785680392e-05
1.602,3.43228870320424,3.39468656534566,-0.0189170900082534,-0.0138876688524072,-0.0141319050707458,0.000581951374525769,1.30876575883954e-05
1.603,3.43333116211637,3.39454944184232,-0.0195105208075792,-0.0143106029361828,-0.0145673229769123,0.000581053571662604,1.37052505178037e-05
1.604,3.43434529778845,3.39443783313593,-0.0200768664715891,-0.0147137809769005,-0.0149826907698936,0.000580157153156069,1.43003923345764e-05
1.605,3.43533049705422,3.39435244567496,-0.0206154631212678,-0.0150967268875943,-0.015377513509033,0.000579262116873203,1.4872648795905e-05
1.606,3.43628618427794,3.39429394972857,-0.0211256839599292,-0.0154589915048167,-0.0157513235401741,0.000578368460685486,1.5421616596456e-05
1.607,3.43721182200921,3.39426297861049,-0.0216069399931351,-0.0158001531097738,-0.0161036810448016,0.000577476182467063,1.59469234906617e-05
1.608,3.43810691158726,3.39426012795185,-0.0220586806985001,-0.0161198179131965,-0.0164341745524532,0.000576585280097408,1.64482283771528e-05
1.609,3.4389709936942,3.39428595502414,-0.0224803946446599,-0.0164176205033937,-0.0167424214157799,0.000575695751459548,1.69252213469973e-05
1.61,3.43980364885649,3.39434097811274,-0.0228716100587079,-0.0166932242569913,-0.0170280682477477,0.000574807594440063,1.73776236960799e-05
1.611,3.4406044978943,3.39442567594199,-0.0232318953414947,-0.016946321711905,-0.0172907913204758,0.000573920806930417,1.78051879015095e-05
1.612,3.44137320231802,3.39454048715219,-0.0235608595302459,-0.0171766349021452,-0.017530296925262,0.000573035386825627,1.82076975618339e-05
1.613,3.44210946467184,3.39468580982922,-0.0238581527080282,-0.0173839156541042,-0.0177463216934255,0.000572151332026039,1.85849673040028e-05
